user_id,loan_id,webvisit_id,name,gender,birthday,ssn,city,zip_code,loan_amount,interest,loan_purpose,outcome,timestamp,referrer,campaign_name
29817,89754689,,Νεοκλής Γιαννακέας,M,1995-08-10,539-03-6064,Φλώρινα,17331,290000,8.7,Home purchase,ACCEPTED,1525639360,,
46037,82367130,54354971,Ελισσαίος Κουτσικόπουλος,M,1996-08-05,219-88-6096,Κιλκίς,ΤΚ 464 00,90000,6.7,Refinance existing loans,ACCEPTED,1510040019,Facebook,display3
46037,82367130,54354971,Ελισσαίος Κουτσικόπουλος,M,1996-08-05,219-88-6096,Κιλκίς,ΤΚ 464 00,90000,6.7,Refinance existing loans,ACCEPTED,1510040019,Facebook,display2
46037,82367130,54354971,Ελισσαίος Κουτσικόπουλος,M,1996-08-05,219-88-6096,Κιλκίς,ΤΚ 464 00,90000,6.7,Refinance existing loans,ACCEPTED,1510040019,Google,display3
46037,82367130,54354971,Ελισσαίος Κουτσικόπουλος,M,1996-08-05,219-88-6096,Κιλκίς,ΤΚ 464 00,90000,6.7,Refinance existing loans,ACCEPTED,1510040019,Google,display2
55228,30014830,,Ηλίας Αραμπατζής,M,1971-10-28,423-19-0023,Λευκάδα,ΤΚ 896 53,230000,6.7,buying a pet,ACCEPTED,1550352010,,
70251,97232479,,Ανθή Σκασίλα,M,1971-02-19,165-96-1661,Άμφισσα,ΤΚ 35316,290000,8.7,home purchase,ACCEPTED,1524822324,,
73522,23273645,,Νικολίτσα Κουκουβά,M,1970-06-07,397-17-1091,Λευκάδα,46432,180000,7.0,Refinance existing loans,REJECTED,1549078973,,
91506,49995516,,Ανθούλης Μαρκόπουλος,M,1984-02-11,027-19-3151,Άρτα,ΤΚ 201 22,240000,14.0,Buying a pet,ACCEPTED,1513032676,,
119897,14822696,68350579,Θεοπίστη Σαμπάνη,M,1972-03-31,807-14-1528,Σέρρες,60024,170000,6.7,Refinance existing loans,ACCEPTED,1507098828,Twitter,display2
119897,14822696,68350579,Θεοπίστη Σαμπάνη,M,1972-03-31,807-14-1528,Σέρρες,60024,170000,6.7,Refinance existing loans,ACCEPTED,1507098828,Twitter,display1
119897,14822696,68350579,Θεοπίστη Σαμπάνη,M,1972-03-31,807-14-1528,Σέρρες,60024,170000,6.7,Refinance existing loans,ACCEPTED,1507098828,Twitter,display2
171612,70595253,,Θεοφίλη Σκαφτούρου,M,1973-09-25,524-93-2081,Κόρινθος,71576,200000,7.0,Home purchase,ACCEPTED,1522071113,,
192421,13751340,,Κανέλλα Χαλκίδου,M,1980-01-31,905-59-9256,Ναύπλιο,ΤΚ 906 28,280000,6.7,Refinance existing loans,REJECTED,1527719265,,
196591,56565407,,Φιλιώ Πέτρου,F,1980-03-15,333-04-6526,Ρέθυμνο,ΤΚ 05554,80000,14.0,home purchase,REJECTED,1519034993,,
200117,95275172,,Φιλιππία Βαρουτίδου,M,1971-05-16,522-42-7518,Λαμία,ΤΚ 986 14,260000,8.7,Buying a pet,REJECTED,1553682058,,
211327,89033727,,Παντελία Νάσσου,M,1982-12-24,848-24-2892,Σάμος,ΤΚ 12668,300000,8.7,Home purchase,ACCEPTED,1555526989,,
215781,88981446,,Υάκινθος Γκάγκας,M,1992-02-04,366-20-0783,Λιβαδιά,584 50,100000,14.0,Buying a pet,ACCEPTED,1516372963,,
233838,53806034,,Ρεβέκα Λύτρα,M,1972-10-13,463-55-0900,Λευκάδα,52818,200000,14.0,Home purchase,ACCEPTED,1548695705,,
241879,51072084,,Περικλής Γαλατούλας,F,1989-12-05,634-75-5657,Λευκάδα,ΤΚ 29021,300000,14.0,Buying a pet,REJECTED,1561663668,,
241916,82355499,74451032,Απολλωνία-Θεοφανία Τσακίρη,M,1972-01-16,073-57-4544,Σέρρες,29777,90000,8.7,Refinance existing loans,ACCEPTED,1555322879,,
286004,46492507,39177943,Θαλής Καρανικόλας,F,1995-12-23,653-17-1220,Καβάλα,51131,50000,8.7,Buying a pet,ACCEPTED,1558131426,Twitter,display2
286004,63857717,17370919,Θαλής Καρανικόλας,F,1995-12-23,653-17-1220,Καβάλα,51131,200000,6.7,Refinance existing loans,REJECTED,1554802753,Google,display1
286004,63857717,17370919,Θαλής Καρανικόλας,F,1995-12-23,653-17-1220,Καβάλα,51131,200000,6.7,Refinance existing loans,REJECTED,1554802753,Twitter,display3
286004,63857717,17370919,Θαλής Καρανικόλας,F,1995-12-23,653-17-1220,Καβάλα,51131,200000,6.7,Refinance existing loans,REJECTED,1554802753,Facebook,display3
286004,63857717,17370919,Θαλής Καρανικόλας,F,1995-12-23,653-17-1220,Καβάλα,51131,200000,6.7,Refinance existing loans,REJECTED,1554802753,Google,display3
293252,70517243,,Ερμής Πετρογιάννης,M,1973-07-24,234-43-3544,Σπάρτη,ΤΚ 00788,90000,14.0,Refinance existing loans,REJECTED,1506969343,,
318312,95207535,,Δημοσθένης Κακαβός,M,1990-12-20,816-63-1366,Τρίκαλα,ΤΚ 704 43,20000,7.0,buying a pet,REJECTED,1519016677,,
318572,34698226,,Γιαννούλα-Πανωραία Καρακώστα,F,1993-10-03,025-12-3539,Καβάλα,ΤΚ 901 01,180000,8.7,Home purchase,ACCEPTED,1546755255,,
318572,4735179,,Γιαννούλα-Πανωραία Καρακώστα,F,1993-10-03,025-12-3539,Καβάλα,ΤΚ 901 01,180000,8.7,Home purchase,ACCEPTED,1552181280,,
336680,89959747,15336482,Χριστοφόρα Μαυροείδη,F,1976-04-09,039-89-1580,Πάτρα,121 65,270000,7.0,Refinance existing loans,REJECTED,1518608880,Google,display3
336680,89959747,15336482,Χριστοφόρα Μαυροείδη,F,1976-04-09,039-89-1580,Πάτρα,121 65,270000,7.0,Refinance existing loans,REJECTED,1518608880,Google,display3
336680,89959747,15336482,Χριστοφόρα Μαυροείδη,F,1976-04-09,039-89-1580,Πάτρα,121 65,270000,7.0,Refinance existing loans,REJECTED,1518608880,Google,display2
336680,89959747,15336482,Χριστοφόρα Μαυροείδη,F,1976-04-09,039-89-1580,Πάτρα,121 65,270000,7.0,Refinance existing loans,REJECTED,1518608880,Facebook,display1
336680,89959747,15336482,Χριστοφόρα Μαυροείδη,F,1976-04-09,039-89-1580,Πάτρα,121 65,270000,7.0,Refinance existing loans,REJECTED,1518608880,Google,display3
344090,14148277,,Απόλλων Ξηρογιάννης,F,1991-08-07,374-83-5671,Αλεξανδρούπολη,07169,180000,7.0,Buying a pet,ACCEPTED,1522281970,,
352565,85737018,89367508,Μακάριος Στεργιούδης,F,1984-06-07,258-97-8297,Λάρισα,487 92,30000,6.7,Home purchase,ACCEPTED,1507751494,Google,display2
352565,85737018,89367508,Μακάριος Στεργιούδης,F,1984-06-07,258-97-8297,Λάρισα,487 92,30000,6.7,Home purchase,ACCEPTED,1507751494,Facebook,display1
352565,45324842,21324469,Μακάριος Στεργιούδης,F,1984-06-07,258-97-8297,Λάρισα,487 92,290000,6.7,Refinance existing loans,REJECTED,1524456689,Twitter,display3
372217,33781976,87474075,Μελίνα Πετράκη,F,1992-11-03,036-34-2404,Αλεξανδρούπολη,ΤΚ 08710,250000,8.7,Home purchase,ACCEPTED,1556762601,Facebook,display2
372217,33781976,87474075,Μελίνα Πετράκη,F,1992-11-03,036-34-2404,Αλεξανδρούπολη,ΤΚ 08710,250000,8.7,Home purchase,ACCEPTED,1556762601,Twitter,display3
372217,33781976,87474075,Μελίνα Πετράκη,F,1992-11-03,036-34-2404,Αλεξανδρούπολη,ΤΚ 08710,250000,8.7,Home purchase,ACCEPTED,1556762601,Twitter,display1
372217,33781976,87474075,Μελίνα Πετράκη,F,1992-11-03,036-34-2404,Αλεξανδρούπολη,ΤΚ 08710,250000,8.7,Home purchase,ACCEPTED,1556762601,Twitter,display1
372217,33781976,87474075,Μελίνα Πετράκη,F,1992-11-03,036-34-2404,Αλεξανδρούπολη,ΤΚ 08710,250000,8.7,Home purchase,ACCEPTED,1556762601,Facebook,display1
385433,24500155,,Πολύβια Μποτζιώρη,F,1976-05-01,339-31-4931,Πάτρα,108 20,170000,8.7,buying a pet,REJECTED,1510667743,,
424605,34058726,,Ελεονόρα Μπύρου,F,1975-10-31,040-44-0117,Ναύπλιο,ΤΚ 32617,150000,7.0,Refinance existing loans,REJECTED,1528763266,,
424605,5236243,,Ελεονόρα Μπύρου,F,1975-10-31,040-44-0117,Ναύπλιο,ΤΚ 32617,180000,8.7,Refinance existing loans,ACCEPTED,1554536101,,
428369,20626588,67556614,Αρτέμης Δημόπουλος,F,1981-10-21,230-80-5551,Ηράκλειο,ΤΚ 49083,190000,7.0,Refinance existing loans,REJECTED,1554998289,Facebook,display2
428369,20626588,67556614,Αρτέμης Δημόπουλος,F,1981-10-21,230-80-5551,Ηράκλειο,ΤΚ 49083,190000,7.0,Refinance existing loans,REJECTED,1554998289,Google,display3
428369,69361730,,Αρτέμης Δημόπουλος,F,1981-10-21,230-80-5551,Ηράκλειο,ΤΚ 49083,220000,7.0,Home purchase,REJECTED,1513482960,,
428369,20626588,67556614,Αρτέμης Δημόπουλος,F,1981-10-21,230-80-5551,Ηράκλειο,ΤΚ 49083,190000,7.0,Refinance existing loans,REJECTED,1554998289,Twitter,display1
428369,20626588,67556614,Αρτέμης Δημόπουλος,F,1981-10-21,230-80-5551,Ηράκλειο,ΤΚ 49083,190000,7.0,Refinance existing loans,REJECTED,1554998289,Facebook,display1
428369,20626588,67556614,Αρτέμης Δημόπουλος,F,1981-10-21,230-80-5551,Ηράκλειο,ΤΚ 49083,190000,7.0,Refinance existing loans,REJECTED,1554998289,Facebook,display2
428546,23926375,,Πηγή Πατελλή,F,1982-01-19,441-46-4354,Καρδίτσα,ΤΚ 81166,70000,6.7,Buying a pet,ACCEPTED,1554418871,,
435191,7162010,38342006,Χαρίτος Δουμάς,F,1996-06-15,431-55-7981,Αλεξανδρούπολη,12243,210000,8.7,Refinance existing loans,ACCEPTED,1511515380,Google,display2
435599,14691627,61427247,Νίκη-Βασιλεία Προύβα,F,1980-09-22,214-47-7354,Κιλκίς,39587,210000,8.7,Refinance existing loans,REJECTED,1557144883,Google,display2
435599,14691627,61427247,Νίκη-Βασιλεία Προύβα,F,1980-09-22,214-47-7354,Κιλκίς,39587,210000,8.7,Refinance existing loans,REJECTED,1557144883,Twitter,display3
435599,14691627,61427247,Νίκη-Βασιλεία Προύβα,F,1980-09-22,214-47-7354,Κιλκίς,39587,210000,8.7,Refinance existing loans,REJECTED,1557144883,Twitter,display1
481546,89943800,,Αγάπη-Αγαθή Νικολάου,F,1973-10-15,070-69-4602,Πύργος,160 33,90000,6.7,Refinance existing loans,REJECTED,1523788967,,
515342,69911564,,Λαέρτης Μαυρομανωλάκης,M,1993-06-02,554-87-1242,Ερμούπολη,56817,50000,8.7,Refinance existing loans,ACCEPTED,1518474571,,
544436,93311274,,Τζανέτος Σπανουδάκης,M,1980-05-28,616-15-8584,Γρεβενά,745 07,300000,14.0,Refinance existing loans,REJECTED,1515430238,,
544436,37886794,403229,Τζανέτος Σπανουδάκης,M,1980-05-28,616-15-8584,Γρεβενά,745 07,200000,14.0,Home purchase,ACCEPTED,1514289409,Facebook,display2
544436,37886794,403229,Τζανέτος Σπανουδάκης,M,1980-05-28,616-15-8584,Γρεβενά,745 07,200000,14.0,Home purchase,ACCEPTED,1514289409,Twitter,display2
566554,32961361,,Άλκηστις Μπακοστεργίου,M,1986-05-13,780-33-8680,Θεσσαλονίκη,367 65,30000,14.0,Refinance existing loans,REJECTED,1518499699,,
567738,22189906,16159895,Εύκλεια Ξηρίδου,M,1991-06-28,966-35-5961,Ναύπλιο,ΤΚ 352 89,120000,14.0,Buying a pet,ACCEPTED,1516572191,Google,display1
567738,50468067,,Εύκλεια Ξηρίδου,M,1991-06-28,966-35-5961,Ναύπλιο,ΤΚ 352 89,190000,6.7,Refinance existing loans,ACCEPTED,1549168772,,
573664,35860957,,Ησαΐας Παπαγιαννόπουλος,M,1994-03-21,978-22-9769,Ιωάννινα,46934,190000,8.7,home purchase,ACCEPTED,1519488154,,
613462,8454322,96609446,Ρουμπίνη-Μαγδαληνή Πέτση,F,1980-10-18,761-78-0202,Κομοτηνή,45001,250000,14.0,buying a pet,ACCEPTED,1561324418,Google,display1
613462,8454322,96609446,Ρουμπίνη-Μαγδαληνή Πέτση,F,1980-10-18,761-78-0202,Κομοτηνή,45001,250000,14.0,buying a pet,ACCEPTED,1561324418,Facebook,display2
